Risk Code,E-commerce
ER-01,"""Same product cheaper on Amazon by 30%"""
ER-02,"""Selling products without proper invoices"""
ER-03,"""Product quality differs from description"""
ER-04,"""Multiple fake product reviews exposed"""
ER-05,"""Reduced purchasing due to economic downturn"""
OR-01,"""Customer service never responds"""
OR-02,"""Order fulfillment errors frequent"""
OR-03,"""Website crashes during flash sale"""
OR-04,"""Support agents cannot resolve issues"""
OR-05,"""Delivery delayed by 5 days"""
FR-01,"""Prices higher than competitors"""
FR-02,"""Payment processed twice"""
FR-03,"""Shipping fees appear at checkout"""
FR-04,"""Refund delayed for 3 weeks"""
FR-05,"""Product quality poor for price paid"""
SR-01,"""Platform not suitable for B2B buyers"""
SR-02,"""No augmented reality product preview"""
SR-03,"""Competitors have faster shipping"""
SR-04,"""High cart abandonment rate"""
