Risk Code,Financial/Insurance
ER-01,"""Competitor bank offers 2% higher interest rate"""
ER-02,"""Violates central bank lending regulations"""
ER-03,"""Loan approval process doesn't match advertised timeline"""
ER-04,"""Bank involved in fraud scandal"""
ER-05,"""Cannot afford loan payments due to recession"""
OR-01,"""Bank teller provided incorrect information"""
OR-02,"""Account opening took 3 weeks instead of 3 days"""
OR-03,"""Mobile banking app crashes during transactions"""
OR-04,"""Financial advisor lacks product knowledge"""
OR-05,"""ATM network frequently out of cash"""
FR-01,"""Account maintenance fees too high"""
FR-02,"""Transaction failed but amount still debited"""
FR-03,"""Unexpected foreign transaction fees"""
FR-04,"""Refund request denied without explanation"""
FR-05,"""Premium account benefits not worth the cost"""
SR-01,"""No digital banking features for Gen Z"""
SR-02,"""Mobile app lacks biometric authentication"""
SR-03,"""Fintech competitors more innovative"""
SR-04,"""Customers closing accounts for better options"""
